prophage_id	sample_id	length_bp	original_id
kansas_SRR17839156_NODE_36_length_24154_cov_32.646648	SRR17839156	24154	NODE_36_length_24154_cov_32.646648
kansas_SRR17839156_NODE_53_length_5976_cov_62.549667	SRR17839156	5976	NODE_53_length_5976_cov_62.549667
kansas_SRR17839156_NODE_6_length_261200_cov_29.768134_fragment_2	SRR17839156	13494	NODE_6_length_261200_cov_29.768134_fragment_2
kansas_SRR17839156_NODE_16_length_92167_cov_30.653477_fragment_1	SRR17839156	19612	NODE_16_length_92167_cov_30.653477_fragment_1
kansas_SRR17839156_NODE_19_length_66306_cov_30.063646_fragment_1	SRR17839156	19386	NODE_19_length_66306_cov_30.063646_fragment_1
kansas_SRR17839156_NODE_58_length_5142_cov_32.326820	SRR17839156	5142	NODE_58_length_5142_cov_32.326820
kansas_SRR17839156_NODE_37_length_23496_cov_30.427147	SRR17839156	23496	NODE_37_length_23496_cov_30.427147
kansas_SRR17839156_NODE_49_length_8006_cov_31.395101	SRR17839156	8006	NODE_49_length_8006_cov_31.395101
kansas_SRR17839156_NODE_42_length_19750_cov_29.810325	SRR17839156	19750	NODE_42_length_19750_cov_29.810325
kansas_SRR17839156_NODE_32_length_25954_cov_30.094630_fragment_1	SRR17839156	16379	NODE_32_length_25954_cov_30.094630_fragment_1
kansas_SRR17839156_NODE_65_length_3106_cov_39.865055	SRR17839156	3106	NODE_65_length_3106_cov_39.865055
kansas_SRR17839156_NODE_55_length_5852_cov_38.715633	SRR17839156	5852	NODE_55_length_5852_cov_38.715633
kansas_SRR17839157_NODE_4_length_235181_cov_17.030882_fragment_1	SRR17839157	47100	NODE_4_length_235181_cov_17.030882_fragment_1
kansas_SRR17839157_NODE_32_length_56310_cov_16.617215_fragment_1	SRR17839157	24979	NODE_32_length_56310_cov_16.617215_fragment_1
kansas_SRR17839157_NODE_20_length_84399_cov_15.369328_fragment_1	SRR17839157	21940	NODE_20_length_84399_cov_15.369328_fragment_1
kansas_SRR17839157_NODE_42_length_30022_cov_15.059374_fragment_1	SRR17839157	7828	NODE_42_length_30022_cov_15.059374_fragment_1
kansas_SRR17839157_NODE_6_length_201603_cov_17.429461_fragment_2	SRR17839157	37028	NODE_6_length_201603_cov_17.429461_fragment_2
kansas_SRR17839157_NODE_3_length_271571_cov_17.947698_fragment_1	SRR17839157	41768	NODE_3_length_271571_cov_17.947698_fragment_1
kansas_SRR17839159_NODE_128_length_3995_cov_5.864216	SRR17839159	3995	NODE_128_length_3995_cov_5.864216
kansas_SRR17839159_NODE_129_length_3981_cov_3.542264	SRR17839159	3981	NODE_129_length_3981_cov_3.542264
kansas_SRR17839159_NODE_43_length_37727_cov_22.467782	SRR17839159	37727	NODE_43_length_37727_cov_22.467782
kansas_SRR17839159_NODE_84_length_12205_cov_22.701022	SRR17839159	12205	NODE_84_length_12205_cov_22.701022
kansas_SRR17839159_NODE_118_length_4780_cov_23.443121	SRR17839159	4780	NODE_118_length_4780_cov_23.443121
kansas_SRR17839159_NODE_38_length_40348_cov_24.175511	SRR17839159	40348	NODE_38_length_40348_cov_24.175511
kansas_SRR17839159_NODE_80_length_13326_cov_22.915767	SRR17839159	13326	NODE_80_length_13326_cov_22.915767
kansas_SRR17839159_NODE_139_length_3208_cov_2.719898	SRR17839159	3208	NODE_139_length_3208_cov_2.719898
kansas_SRR17839159_NODE_160_length_2242_cov_2.775058	SRR17839159	2242	NODE_160_length_2242_cov_2.775058
kansas_SRR17839160_NODE_17_length_95982_cov_22.026937_fragment_1	SRR17839160	34840	NODE_17_length_95982_cov_22.026937_fragment_1
kansas_SRR17839160_NODE_3_length_380359_cov_22.001504_fragment_1	SRR17839160	43568	NODE_3_length_380359_cov_22.001504_fragment_1
kansas_SRR17839160_NODE_3_length_380359_cov_22.001504_fragment_2	SRR17839160	46616	NODE_3_length_380359_cov_22.001504_fragment_2
kansas_SRR17839160_NODE_8_length_249649_cov_26.685711_fragment_1	SRR17839160	13043	NODE_8_length_249649_cov_26.685711_fragment_1
kansas_SRR17839160_NODE_11_length_188486_cov_27.794610_fragment_1	SRR17839160	23867	NODE_11_length_188486_cov_27.794610_fragment_1
kansas_SRR17839160_NODE_7_length_251073_cov_25.089115_fragment_1	SRR17839160	42145	NODE_7_length_251073_cov_25.089115_fragment_1
kansas_SRR17839160_NODE_6_length_276434_cov_23.144224_fragment_1	SRR17839160	50975	NODE_6_length_276434_cov_23.144224_fragment_1
kansas_SRR17839160_NODE_1_length_652458_cov_23.596139_fragment_1	SRR17839160	35553	NODE_1_length_652458_cov_23.596139_fragment_1
kansas_SRR17839160_NODE_1_length_652458_cov_23.596139_fragment_4	SRR17839160	33788	NODE_1_length_652458_cov_23.596139_fragment_4
kansas_SRR17839162_NODE_65_length_18580_cov_18.545494	SRR17839162	18580	NODE_65_length_18580_cov_18.545494
kansas_SRR17839162_NODE_134_length_3219_cov_17.154916	SRR17839162	3219	NODE_134_length_3219_cov_17.154916
kansas_SRR17839162_NODE_31_length_59090_cov_15.366501_fragment_1	SRR17839162	42094	NODE_31_length_59090_cov_15.366501_fragment_1
kansas_SRR17839162_NODE_7_length_134066_cov_15.856980_fragment_2	SRR17839162	11710	NODE_7_length_134066_cov_15.856980_fragment_2
kansas_SRR17839162_NODE_7_length_134066_cov_15.856980_fragment_1	SRR17839162	24910	NODE_7_length_134066_cov_15.856980_fragment_1
kansas_SRR17839162_NODE_3_length_157262_cov_15.484641_fragment_1	SRR17839162	9493	NODE_3_length_157262_cov_15.484641_fragment_1
kansas_SRR17839162_NODE_119_length_4531_cov_16.655086	SRR17839162	4531	NODE_119_length_4531_cov_16.655086
kansas_SRR17839162_NODE_174_length_1106_cov_13.703779	SRR17839162	1106	NODE_174_length_1106_cov_13.703779
kansas_SRR17839162_NODE_87_length_12802_cov_4.588008	SRR17839162	12802	NODE_87_length_12802_cov_4.588008
kansas_SRR17839162_NODE_40_length_40246_cov_15.017373_fragment_1	SRR17839162	16433	NODE_40_length_40246_cov_15.017373_fragment_1
kansas_SRR17839162_NODE_105_length_7073_cov_2.991074	SRR17839162	7073	NODE_105_length_7073_cov_2.991074
kansas_SRR17839162_NODE_104_length_7112_cov_20.318253	SRR17839162	7112	NODE_104_length_7112_cov_20.318253
kansas_SRR17839162_NODE_120_length_4465_cov_18.254726	SRR17839162	4465	NODE_120_length_4465_cov_18.254726
kansas_SRR17839162_NODE_149_length_2430_cov_14.054277	SRR17839162	2430	NODE_149_length_2430_cov_14.054277
kansas_SRR17839162_NODE_53_length_30263_cov_16.969837	SRR17839162	30263	NODE_53_length_30263_cov_16.969837
kansas_SRR17839162_NODE_93_length_9680_cov_15.770857	SRR17839162	9680	NODE_93_length_9680_cov_15.770857
kansas_SRR17839162_NODE_34_length_54413_cov_16.445179_fragment_1	SRR17839162	19540	NODE_34_length_54413_cov_16.445179_fragment_1
kansas_SRR17839162_NODE_90_length_10821_cov_3.014027	SRR17839162	10821	NODE_90_length_10821_cov_3.014027
kansas_SRR17839162_NODE_8_length_131449_cov_16.391557_fragment_1	SRR17839162	16171	NODE_8_length_131449_cov_16.391557_fragment_1
kansas_SRR17839162_NODE_71_length_15127_cov_16.981467	SRR17839162	15127	NODE_71_length_15127_cov_16.981467
kansas_SRR17839162_NODE_153_length_2218_cov_2.988522	SRR17839162	2218	NODE_153_length_2218_cov_2.988522
kansas_SRR17839162_NODE_138_length_3076_cov_3.228891	SRR17839162	3076	NODE_138_length_3076_cov_3.228891
kansas_SRR17839162_NODE_63_length_18966_cov_16.887627	SRR17839162	18966	NODE_63_length_18966_cov_16.887627
kansas_SRR17839162_NODE_37_length_48186_cov_6.936932	SRR17839162	48186	NODE_37_length_48186_cov_6.936932
kansas_SRR17845060_NODE_44_length_38713_cov_19.152231_fragment_1	SRR17845060	32320	NODE_44_length_38713_cov_19.152231_fragment_1
kansas_SRR17845060_NODE_37_length_44197_cov_17.632017_fragment_1	SRR17845060	23700	NODE_37_length_44197_cov_17.632017_fragment_1
kansas_SRR17845060_NODE_9_length_151596_cov_16.777902_fragment_2	SRR17845060	41782	NODE_9_length_151596_cov_16.777902_fragment_2
kansas_SRR17845060_NODE_3_length_228441_cov_15.785576_fragment_1	SRR17845060	37671	NODE_3_length_228441_cov_15.785576_fragment_1
kansas_SRR17845060_NODE_78_length_2017_cov_18.820106	SRR17845060	2017	NODE_78_length_2017_cov_18.820106
kansas_SRR17845060_NODE_51_length_29129_cov_16.487415_fragment_1	SRR17845060	8113	NODE_51_length_29129_cov_16.487415_fragment_1
kansas_SRR17845060_NODE_76_length_2191_cov_22.182655	SRR17845060	2191	NODE_76_length_2191_cov_22.182655
kansas_SRR17845060_NODE_12_length_137448_cov_16.430866_fragment_1	SRR17845060	25288	NODE_12_length_137448_cov_16.430866_fragment_1
kansas_SRR17845060_NODE_14_length_135380_cov_19.546258_fragment_1	SRR17845060	44808	NODE_14_length_135380_cov_19.546258_fragment_1
kansas_SRR17845061_NODE_67_length_3263_cov_22.741390	SRR17845061	3263	NODE_67_length_3263_cov_22.741390
kansas_SRR17845061_NODE_1_length_700798_cov_20.812899_fragment_3	SRR17845061	39229	NODE_1_length_700798_cov_20.812899_fragment_3
kansas_SRR17845061_NODE_22_length_91571_cov_19.837912_fragment_1	SRR17845061	20551	NODE_22_length_91571_cov_19.837912_fragment_1
kansas_SRR17845061_NODE_4_length_238074_cov_19.453286_fragment_1	SRR17845061	40161	NODE_4_length_238074_cov_19.453286_fragment_1
kansas_SRR17845061_NODE_27_length_69518_cov_22.246848_fragment_1	SRR17845061	31885	NODE_27_length_69518_cov_22.246848_fragment_1
kansas_SRR17845061_NODE_19_length_105414_cov_19.343490_fragment_1	SRR17845061	33885	NODE_19_length_105414_cov_19.343490_fragment_1
kansas_SRR17845061_NODE_3_length_256323_cov_19.338596_fragment_1	SRR17845061	48554	NODE_3_length_256323_cov_19.338596_fragment_1
kansas_SRR17845062_NODE_59_length_4844_cov_43.701489	SRR17845062	4844	NODE_59_length_4844_cov_43.701489
kansas_SRR17845062_NODE_46_length_15066_cov_33.849490	SRR17845062	15066	NODE_46_length_15066_cov_33.849490
kansas_SRR17845062_NODE_13_length_136114_cov_32.972125_fragment_3	SRR17845062	30974	NODE_13_length_136114_cov_32.972125_fragment_3
kansas_SRR17845062_NODE_51_length_5905_cov_67.278826	SRR17845062	5905	NODE_51_length_5905_cov_67.278826
kansas_SRR17845062_NODE_16_length_104049_cov_32.198707_fragment_1	SRR17845062	18118	NODE_16_length_104049_cov_32.198707_fragment_1
kansas_SRR17845062_NODE_53_length_5534_cov_66.585853	SRR17845062	5534	NODE_53_length_5534_cov_66.585853
kansas_SRR17845062_NODE_27_length_57247_cov_32.291621_fragment_1	SRR17845062	26661	NODE_27_length_57247_cov_32.291621_fragment_1
kansas_SRR17845062_NODE_1_length_298947_cov_34.394034_fragment_2	SRR17845062	21773	NODE_1_length_298947_cov_34.394034_fragment_2
kansas_SRR17845062_NODE_18_length_100913_cov_32.828206_fragment_1	SRR17845062	12309	NODE_18_length_100913_cov_32.828206_fragment_1
kansas_SRR17845062_NODE_74_length_2870_cov_32.139993	SRR17845062	2870	NODE_74_length_2870_cov_32.139993
kansas_SRR17845062_NODE_17_length_103410_cov_36.071303_fragment_1	SRR17845062	43105	NODE_17_length_103410_cov_36.071303_fragment_1
kansas_SRR17845062_NODE_87_length_1848_cov_37.009599	SRR17845062	1848	NODE_87_length_1848_cov_37.009599
kansas_SRR17845062_NODE_10_length_194864_cov_36.188796_fragment_1	SRR17845062	11178	NODE_10_length_194864_cov_36.188796_fragment_1
kansas_SRR17845063_NODE_22_length_69067_cov_30.894709_fragment_1	SRR17845063	8661	NODE_22_length_69067_cov_30.894709_fragment_1
kansas_SRR17845063_NODE_42_length_32478_cov_29.939014_fragment_1	SRR17845063	23608	NODE_42_length_32478_cov_29.939014_fragment_1
kansas_SRR17845063_NODE_2_length_209487_cov_31.913872_fragment_1	SRR17845063	8579	NODE_2_length_209487_cov_31.913872_fragment_1
kansas_SRR17845063_NODE_69_length_5326_cov_30.254334	SRR17845063	5326	NODE_69_length_5326_cov_30.254334
kansas_SRR17845065_NODE_22_length_8084_cov_35.749719	SRR17845065	8084	NODE_22_length_8084_cov_35.749719
kansas_SRR17845065_NODE_21_length_9105_cov_35.876495	SRR17845065	9105	NODE_21_length_9105_cov_35.876495
kansas_SRR17845065_NODE_25_length_3830_cov_31.880629	SRR17845065	3830	NODE_25_length_3830_cov_31.880629
kansas_SRR17845065_NODE_9_length_82362_cov_26.468712_fragment_2	SRR17845065	20526	NODE_9_length_82362_cov_26.468712_fragment_2
kansas_SRR17845065_NODE_9_length_82362_cov_26.468712_fragment_1	SRR17845065	15124	NODE_9_length_82362_cov_26.468712_fragment_1
kansas_SRR17845065_NODE_2_length_223455_cov_26.835449_fragment_1	SRR17845065	38027	NODE_2_length_223455_cov_26.835449_fragment_1
kansas_SRR17845066_NODE_22_length_7130_cov_144.823338	SRR17845066	7130	NODE_22_length_7130_cov_144.823338
kansas_SRR17845066_NODE_2_length_217413_cov_37.189416_fragment_1	SRR17845066	37955	NODE_2_length_217413_cov_37.189416_fragment_1
kansas_SRR17845066_NODE_19_length_15247_cov_39.857152	SRR17845066	15247	NODE_19_length_15247_cov_39.857152
kansas_SRR17845066_NODE_21_length_7671_cov_54.724388	SRR17845066	7671	NODE_21_length_7671_cov_54.724388
kansas_SRR17845066_NODE_28_length_4347_cov_49.051054	SRR17845066	4347	NODE_28_length_4347_cov_49.051054
kansas_SRR17845066_NODE_27_length_4979_cov_72.981640	SRR17845066	4979	NODE_27_length_4979_cov_72.981640
kansas_SRR17845066_NODE_32_length_2584_cov_79.176705	SRR17845066	2584	NODE_32_length_2584_cov_79.176705
kansas_SRR17845066_NODE_31_length_3847_cov_74.826260	SRR17845066	3847	NODE_31_length_3847_cov_74.826260
kansas_SRR17845068_NODE_26_length_58371_cov_41.103750_fragment_1	SRR17845068	19126	NODE_26_length_58371_cov_41.103750_fragment_1
kansas_SRR17845068_NODE_18_length_94331_cov_45.261687_fragment_1	SRR17845068	23963	NODE_18_length_94331_cov_45.261687_fragment_1
kansas_SRR17845068_NODE_52_length_3580_cov_95.389951	SRR17845068	3580	NODE_52_length_3580_cov_95.389951
kansas_SRR17845068_NODE_50_length_4053_cov_91.414738	SRR17845068	4053	NODE_50_length_4053_cov_91.414738
kansas_SRR17845068_NODE_48_length_4317_cov_89.242217	SRR17845068	4317	NODE_48_length_4317_cov_89.242217
kansas_SRR17845068_NODE_49_length_4085_cov_47.140968	SRR17845068	4085	NODE_49_length_4085_cov_47.140968
kansas_SRR17845068_NODE_21_length_69256_cov_41.975686_fragment_1	SRR17845068	20440	NODE_21_length_69256_cov_41.975686_fragment_1
kansas_SRR17845068_NODE_7_length_181173_cov_38.729580_fragment_1	SRR17845068	27718	NODE_7_length_181173_cov_38.729580_fragment_1
kansas_SRR17845069_NODE_18_length_82959_cov_72.143047_fragment_2	SRR17845069	28402	NODE_18_length_82959_cov_72.143047_fragment_2
kansas_SRR17845069_NODE_28_length_2917_cov_90.180986	SRR17845069	2917	NODE_28_length_2917_cov_90.180986
kansas_SRR17845069_NODE_10_length_158130_cov_68.010610_fragment_1	SRR17845069	46811	NODE_10_length_158130_cov_68.010610_fragment_1
kansas_SRR17845070_NODE_50_length_3580_cov_126.483871	SRR17845070	3580	NODE_50_length_3580_cov_126.483871
kansas_SRR17845070_NODE_18_length_93905_cov_61.207422_fragment_1	SRR17845070	23963	NODE_18_length_93905_cov_61.207422_fragment_1
kansas_SRR17845070_NODE_40_length_14349_cov_123.230521	SRR17845070	14349	NODE_40_length_14349_cov_123.230521
kansas_SRR17845070_NODE_8_length_180235_cov_51.800991_fragment_1	SRR17845070	27718	NODE_8_length_180235_cov_51.800991_fragment_1
kansas_SRR17845070_NODE_28_length_58371_cov_54.033520_fragment_1	SRR17845070	17968	NODE_28_length_58371_cov_54.033520_fragment_1
kansas_SRR17845070_NODE_22_length_69256_cov_57.020613_fragment_1	SRR17845070	20440	NODE_22_length_69256_cov_57.020613_fragment_1
kansas_SRR17845071_NODE_24_length_58371_cov_64.046283_fragment_1	SRR17845071	17968	NODE_24_length_58371_cov_64.046283_fragment_1
kansas_SRR17845071_NODE_52_length_3580_cov_145.603483	SRR17845071	3580	NODE_52_length_3580_cov_145.603483
kansas_SRR17845071_NODE_51_length_4053_cov_140.733903	SRR17845071	4053	NODE_51_length_4053_cov_140.733903
kansas_SRR17845071_NODE_49_length_4317_cov_139.816745	SRR17845071	4317	NODE_49_length_4317_cov_139.816745
kansas_SRR17845071_NODE_56_length_1887_cov_81.054696	SRR17845071	1887	NODE_56_length_1887_cov_81.054696
kansas_SRR17845071_NODE_50_length_4085_cov_75.672156	SRR17845071	4085	NODE_50_length_4085_cov_75.672156
kansas_SRR17845071_NODE_17_length_92521_cov_67.951690_fragment_1	SRR17845071	22155	NODE_17_length_92521_cov_67.951690_fragment_1
kansas_SRR17845071_NODE_7_length_181437_cov_57.924449_fragment_1	SRR17845071	27718	NODE_7_length_181437_cov_57.924449_fragment_1
kansas_SRR17845072_NODE_36_length_43090_cov_46.537861_fragment_1	SRR17845072	19961	NODE_36_length_43090_cov_46.537861_fragment_1
kansas_SRR17845072_NODE_12_length_129941_cov_41.182198_fragment_1	SRR17845072	10523	NODE_12_length_129941_cov_41.182198_fragment_1
kansas_SRR17845072_NODE_54_length_15642_cov_42.709926	SRR17845072	15642	NODE_54_length_15642_cov_42.709926
kansas_SRR17845072_NODE_35_length_43256_cov_65.435281_fragment_1	SRR17845072	37061	NODE_35_length_43256_cov_65.435281_fragment_1
kansas_SRR17845073_NODE_4_length_360855_cov_19.704785_fragment_2	SRR17845073	11014	NODE_4_length_360855_cov_19.704785_fragment_2
kansas_SRR17845073_NODE_3_length_425749_cov_21.298998_fragment_3	SRR17845073	46817	NODE_3_length_425749_cov_21.298998_fragment_3
kansas_SRR17845073_NODE_16_length_113740_cov_20.262355_fragment_1	SRR17845073	33083	NODE_16_length_113740_cov_20.262355_fragment_1
kansas_SRR17845074_NODE_8_length_139229_cov_41.470730_fragment_1	SRR17845074	55303	NODE_8_length_139229_cov_41.470730_fragment_1
kansas_SRR17845074_NODE_133_length_1128_cov_69.453853	SRR17845074	1128	NODE_133_length_1128_cov_69.453853
kansas_SRR17845074_NODE_79_length_9670_cov_42.416762	SRR17845074	9670	NODE_79_length_9670_cov_42.416762
kansas_SRR17845074_NODE_4_length_185540_cov_41.618441_fragment_1	SRR17845074	43124	NODE_4_length_185540_cov_41.618441_fragment_1
kansas_SRR17845074_NODE_1_length_290765_cov_39.791760_fragment_1	SRR17845074	38358	NODE_1_length_290765_cov_39.791760_fragment_1
kansas_SRR17845074_NODE_2_length_267295_cov_40.489761_fragment_1	SRR17845074	27940	NODE_2_length_267295_cov_40.489761_fragment_1
kansas_SRR17845076_NODE_13_length_54930_cov_69.338649_fragment_1	SRR17845076	23548	NODE_13_length_54930_cov_69.338649_fragment_1
kansas_SRR17845076_NODE_1_length_297072_cov_65.710586_fragment_5	SRR17845076	11288	NODE_1_length_297072_cov_65.710586_fragment_5
kansas_SRR17845076_NODE_5_length_142602_cov_84.961551_fragment_1	SRR17845076	35409	NODE_5_length_142602_cov_84.961551_fragment_1
kansas_SRR17845076_NODE_18_length_10396_cov_44.233518	SRR17845076	10396	NODE_18_length_10396_cov_44.233518
kansas_SRR17845078_NODE_25_length_80121_cov_31.246639_fragment_1	SRR17845078	25965	NODE_25_length_80121_cov_31.246639_fragment_1
kansas_SRR17845078_NODE_4_length_252308_cov_31.411266_fragment_1	SRR17845078	43608	NODE_4_length_252308_cov_31.411266_fragment_1
kansas_SRR17845078_NODE_17_length_111539_cov_32.177980_fragment_1	SRR17845078	16124	NODE_17_length_111539_cov_32.177980_fragment_1
kansas_SRR17845078_NODE_52_length_1581_cov_35.883644	SRR17845078	1581	NODE_52_length_1581_cov_35.883644
kansas_SRR17845078_NODE_36_length_44614_cov_35.928531_fragment_1	SRR17845078	33498	NODE_36_length_44614_cov_35.928531_fragment_1
kansas_SRR17845078_NODE_1_length_411169_cov_32.409514_fragment_1	SRR17845078	39835	NODE_1_length_411169_cov_32.409514_fragment_1
kansas_SRR17845078_NODE_51_length_2172_cov_36.088305	SRR17845078	2172	NODE_51_length_2172_cov_36.088305
kansas_SRR17845078_NODE_23_length_94673_cov_32.601896_fragment_1	SRR17845078	16485	NODE_23_length_94673_cov_32.601896_fragment_1
kansas_SRR17845078_NODE_12_length_144144_cov_36.291982_fragment_1	SRR17845078	38754	NODE_12_length_144144_cov_36.291982_fragment_1
kansas_SRR17845078_NODE_15_length_120603_cov_30.424813_fragment_1	SRR17845078	33549	NODE_15_length_120603_cov_30.424813_fragment_1
kansas_SRR17845079_NODE_4_length_387240_cov_38.423850_fragment_1	SRR17845079	39825	NODE_4_length_387240_cov_38.423850_fragment_1
kansas_SRR17845079_NODE_1_length_1251889_cov_36.145152_fragment_6	SRR17845079	8418	NODE_1_length_1251889_cov_36.145152_fragment_6
kansas_SRR17845079_NODE_1_length_1251889_cov_36.145152_fragment_2	SRR17845079	46532	NODE_1_length_1251889_cov_36.145152_fragment_2
kansas_SRR17845080_NODE_7_length_180902_cov_16.134876_fragment_1	SRR17845080	27719	NODE_7_length_180902_cov_16.134876_fragment_1
kansas_SRR17845080_NODE_9_length_160779_cov_17.796748_fragment_1	SRR17845080	29508	NODE_9_length_160779_cov_17.796748_fragment_1
kansas_SRR17845080_NODE_50_length_3580_cov_39.751356	SRR17845080	3580	NODE_50_length_3580_cov_39.751356
kansas_SRR17845080_NODE_53_length_2308_cov_39.756163	SRR17845080	2308	NODE_53_length_2308_cov_39.756163
kansas_SRR17845080_NODE_48_length_4317_cov_36.820755	SRR17845080	4317	NODE_48_length_4317_cov_36.820755
kansas_SRR17845080_NODE_22_length_69387_cov_17.908181_fragment_1	SRR17845080	20440	NODE_22_length_69387_cov_17.908181_fragment_1
kansas_SRR17845080_NODE_49_length_4085_cov_21.284182	SRR17845080	4085	NODE_49_length_4085_cov_21.284182
kansas_SRR17845080_NODE_26_length_58371_cov_17.785776_fragment_1	SRR17845080	17968	NODE_26_length_58371_cov_17.785776_fragment_1
kansas_SRR17845081_NODE_4_length_443068_cov_15.176078_fragment_1	SRR17845081	41509	NODE_4_length_443068_cov_15.176078_fragment_1
kansas_SRR17845081_NODE_10_length_198104_cov_15.975745_fragment_2	SRR17845081	18151	NODE_10_length_198104_cov_15.975745_fragment_2
kansas_SRR17845081_NODE_8_length_230754_cov_15.438270_fragment_1	SRR17845081	53853	NODE_8_length_230754_cov_15.438270_fragment_1
kansas_SRR17845081_NODE_6_length_405563_cov_13.351550_fragment_1	SRR17845081	53465	NODE_6_length_405563_cov_13.351550_fragment_1
kansas_SRR17845082_NODE_31_length_28767_cov_17.403067	SRR17845082	28767	NODE_31_length_28767_cov_17.403067
kansas_SRR17845082_NODE_18_length_98785_cov_18.075566_fragment_1	SRR17845082	33894	NODE_18_length_98785_cov_18.075566_fragment_1
kansas_SRR17845082_NODE_12_length_145388_cov_17.336754_fragment_1	SRR17845082	13932	NODE_12_length_145388_cov_17.336754_fragment_1
kansas_SRR17845083_NODE_13_length_51781_cov_27.449917_fragment_1	SRR17845083	18154	NODE_13_length_51781_cov_27.449917_fragment_1
kansas_SRR17845083_NODE_2_length_585708_cov_26.483897_fragment_5	SRR17845083	45003	NODE_2_length_585708_cov_26.483897_fragment_5
kansas_SRR17845083_NODE_3_length_571583_cov_23.978095_fragment_3	SRR17845083	38652	NODE_3_length_571583_cov_23.978095_fragment_3
kansas_SRR17845083_NODE_1_length_1503566_cov_19.541287_fragment_6	SRR17845083	52937	NODE_1_length_1503566_cov_19.541287_fragment_6
kansas_SRR17845084_NODE_27_length_39203_cov_32.753020_fragment_1	SRR17845084	19844	NODE_27_length_39203_cov_32.753020_fragment_1
kansas_SRR17845084_NODE_1_length_561593_cov_25.301065_fragment_4	SRR17845084	70827	NODE_1_length_561593_cov_25.301065_fragment_4
kansas_SRR17845087_NODE_71_length_4934_cov_11.206782	SRR17845087	4934	NODE_71_length_4934_cov_11.206782
kansas_SRR17845087_NODE_32_length_57298_cov_14.143045_fragment_1	SRR17845087	37660	NODE_32_length_57298_cov_14.143045_fragment_1
kansas_SRR17845087_NODE_10_length_124948_cov_11.063018_fragment_1	SRR17845087	45775	NODE_10_length_124948_cov_11.063018_fragment_1
kansas_SRR17845088_NODE_22_length_71898_cov_17.036981_fragment_1	SRR17845088	36817	NODE_22_length_71898_cov_17.036981_fragment_1
kansas_SRR17845088_NODE_7_length_190847_cov_16.337773_fragment_1	SRR17845088	41023	NODE_7_length_190847_cov_16.337773_fragment_1
kansas_SRR17845088_NODE_2_length_349676_cov_17.756307_fragment_2	SRR17845088	49455	NODE_2_length_349676_cov_17.756307_fragment_2
kansas_SRR17845089_NODE_95_length_1619_cov_20.515416	SRR17845089	1619	NODE_95_length_1619_cov_20.515416
kansas_SRR17845089_NODE_57_length_8241_cov_16.524772	SRR17845089	8241	NODE_57_length_8241_cov_16.524772
kansas_SRR17845089_NODE_22_length_79254_cov_17.468538_fragment_2	SRR17845089	8134	NODE_22_length_79254_cov_17.468538_fragment_2
kansas_SRR17845089_NODE_88_length_2122_cov_16.224060	SRR17845089	2122	NODE_88_length_2122_cov_16.224060
kansas_SRR17845089_NODE_31_length_44560_cov_15.619269_fragment_1	SRR17845089	9350	NODE_31_length_44560_cov_15.619269_fragment_1
kansas_SRR17845089_NODE_40_length_29686_cov_17.101154_fragment_1	SRR17845089	5760	NODE_40_length_29686_cov_17.101154_fragment_1
kansas_SRR17845089_NODE_43_length_26180_cov_14.613212_fragment_2	SRR17845089	14897	NODE_43_length_26180_cov_14.613212_fragment_2
kansas_SRR17845089_NODE_94_length_1673_cov_17.283312	SRR17845089	1673	NODE_94_length_1673_cov_17.283312
kansas_SRR17845089_NODE_55_length_9487_cov_19.249679	SRR17845089	9487	NODE_55_length_9487_cov_19.249679
kansas_SRR17845089_NODE_102_length_1400_cov_17.790259	SRR17845089	1400	NODE_102_length_1400_cov_17.790259
kansas_SRR17845089_NODE_51_length_11652_cov_18.885119	SRR17845089	11652	NODE_51_length_11652_cov_18.885119
kansas_SRR17845089_NODE_54_length_10472_cov_17.467762	SRR17845089	10472	NODE_54_length_10472_cov_17.467762
kansas_SRR17845090_NODE_2_length_397964_cov_17.870265_fragment_1	SRR17845090	26971	NODE_2_length_397964_cov_17.870265_fragment_1
kansas_SRR17845090_NODE_7_length_230759_cov_22.195832_fragment_1	SRR17845090	29100	NODE_7_length_230759_cov_22.195832_fragment_1
kansas_SRR17845090_NODE_32_length_9275_cov_23.471624	SRR17845090	9275	NODE_32_length_9275_cov_23.471624
kansas_SRR17845090_NODE_8_length_224934_cov_17.184504_fragment_1	SRR17845090	33205	NODE_8_length_224934_cov_17.184504_fragment_1
kansas_SRR17845090_NODE_4_length_298791_cov_19.406476_fragment_2	SRR17845090	11880	NODE_4_length_298791_cov_19.406476_fragment_2
kansas_SRR17845090_NODE_4_length_298791_cov_19.406476_fragment_3	SRR17845090	17393	NODE_4_length_298791_cov_19.406476_fragment_3
kansas_SRR17845090_NODE_10_length_186719_cov_22.366370_fragment_1	SRR17845090	39743	NODE_10_length_186719_cov_22.366370_fragment_1
kansas_SRR17845090_NODE_16_length_130885_cov_18.455179_fragment_1	SRR17845090	26041	NODE_16_length_130885_cov_18.455179_fragment_1
kansas_SRR17845091_NODE_14_length_91203_cov_15.205913_fragment_1	SRR17845091	18676	NODE_14_length_91203_cov_15.205913_fragment_1
kansas_SRR17845091_NODE_3_length_408135_cov_16.425300_fragment_1	SRR17845091	37857	NODE_3_length_408135_cov_16.425300_fragment_1
